,fit_time,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel,,F1SCORE
25,[35.89284658 36.92091036 37.77873707 39.51202869 23.47132182],[44.670187   48.07329392 47.293715   45.80042052 20.14473581],[0.752      0.76342857 0.776      0.78171429 0.76571429],[0.75480347 0.76727518 0.77972383 0.78102791 0.76402856],[0.76007114 0.77690489 0.78769248 0.78290622 0.76344613],[0.752      0.76342857 0.776      0.78171429 0.76571429],10,3,1E-05,poly,,
26,[40.01815653 42.25649476 41.7116859  41.91586709 22.17316866],[44.95937276 46.4996264  46.04312181 45.64654756 21.99789286],[0.76685714 0.77371429 0.80114286 0.784      0.76914286],[0.76891321 0.77552691 0.80383547 0.78285834 0.76900342],[0.77369004 0.77973024 0.80851548 0.78506194 0.77074775],[0.76685714 0.77371429 0.80114286 0.784      0.76914286],10,2,1E-06,poly,,
27,[35.38554549 36.92350864 37.25521183 36.69458508 19.27066016],[31.92050314 33.87325644 33.11872196 33.11418891 19.40459085],[0.752      0.76342857 0.776      0.78171429 0.76571429],[0.75480347 0.76727518 0.77972383 0.78102791 0.76402856],[0.76007114 0.77690489 0.78769248 0.78290622 0.76344613],[0.752      0.76342857 0.776      0.78171429 0.76571429],10,3,1E-06,poly,,
28,[33.70285606 37.23887682 38.39043975 38.83907652 18.95871139],[52.22172332 49.31934953 50.07658458 49.88205028 18.47513127],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],[0.75060633 0.76102019 0.77062937 0.77090804 0.75499097],[0.75445515 0.76995484 0.77781271 0.77277972 0.75449398],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],50,2,"0,0001",poly,,
29,[30.93490696 32.32712555 33.90503049 33.33652401 20.01464796],[36.65028739 38.66690683 38.88794184 39.24783373 17.06810355],[0.752      0.76342857 0.776      0.78171429 0.76685714],[0.75480347 0.76727518 0.77972383 0.78102791 0.76525827],[0.76007114 0.77690489 0.78769248 0.78290622 0.76462783],[0.752      0.76342857 0.776      0.78171429 0.76685714],50,3,"0,0001",poly,,
30,[29.93789864 32.57433176 33.13490176 34.2816689  20.53345251],[34.46207714 35.97414351 35.47826791 36.16230297 17.47381401],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],[0.74945465 0.76102019 0.77062937 0.77090804 0.75499097],[0.75329537 0.76995484 0.77781271 0.77277972 0.75449398],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],50,2,1E-05,poly,,
31,[32.5290854  33.07388949 34.60819197 34.44054508 17.91326189],[45.84184742 45.61144996 44.46909547 44.92966294 17.52175021],[0.752      0.76342857 0.776      0.78171429 0.76571429],[0.75480347 0.76727518 0.77972383 0.78102791 0.76402856],[0.76007114 0.77690489 0.78769248 0.78290622 0.76344613],[0.752      0.76342857 0.776      0.78171429 0.76571429],50,3,1E-05,poly,,
32,[32.54268217 33.48917913 35.507478   35.36166644 18.91986036],[36.84274101 36.54896569 35.81328654 36.04572511 21.94955087],[0.74742857 0.75542857 0.768      0.76914286 0.75542857],[0.74934272 0.75979246 0.77177075 0.76867182 0.75386167],[0.75295764 0.76868842 0.77911789 0.7705942  0.75337791],[0.74742857 0.75542857 0.768      0.76914286 0.75542857],50,2,1E-06,poly,,
33,[40.97842312 42.41165614 44.48213673 43.9373734  17.36405063],[31.98388505 32.87701082 32.21852827 32.4938736  18.65417576],[0.752      0.76342857 0.776      0.78171429 0.76571429],[0.75480347 0.76727518 0.77972383 0.78102791 0.76402856],[0.76007114 0.77690489 0.78769248 0.78290622 0.76344613],[0.752      0.76342857 0.776      0.78171429 0.76571429],50,3,1E-06,poly,,
34,[37.88814402 40.0778091  41.46347952 40.68975306 18.26019382],[39.20771742 39.42993641 38.39929628 38.94392109 17.90752244],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],[0.75060633 0.76102019 0.77062937 0.77090804 0.75499097],[0.75445515 0.76995484 0.77781271 0.77277972 0.75449398],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],100,2,"0,0001",poly,,
